,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
137001,68879,Adalberto Lepri,M,22.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Middleweight, Freestyle",
138744,69697,Johan Martin Lidberg,M,23.0,180.0,85.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
127747,64396,Gnther Kruse,M,22.0,184.0,80.0,Argentina,ARG,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Discus Throw,
83319,42331,"Rudolf ""Rudi"" Gramlich",M,28.0,179.0,74.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
151428,76002,Tadayuki Maruyama,M,22.0,180.0,82.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Heavyweight,
224051,112541,Belinda Rose Snell,F,23.0,180.0,80.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver
194030,97399,Marta Puda,F,25.0,172.0,59.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",
256503,128433,Wang Dapeng,M,19.0,184.0,95.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,
30474,15713,"Christiaan Gerrit Herman ""Chris"" Bruil",M,29.0,190.0,80.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Mixed Doubles,
109027,55126,Morten Roar Johansen,M,27.0,175.0,72.0,Norway,NOR,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,
154531,77582,"Robert Bilsland ""Bobby"" McGregor",M,20.0,185.0,80.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
134124,67528,Catriona Ann Le May Doan,F,31.0,170.0,70.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Women's 500 metres,Gold
225755,113438,Thierry Soumagne,M,22.0,182.0,77.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Individual",
231290,116049,Dmitry Fyodorovich Styopushkin,M,26.0,185.0,96.0,Russia-1,RUS,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,
53517,27457,Yelena Vyacheslavovna Dementyeva (-Afinogenova),F,22.0,180.0,64.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Tennis,Tennis Women's Singles,
172921,86897,Bert-Ola Nordlander,M,25.0,181.0,80.0,Sweden,SWE,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
218305,109649,Dmitry Stepanovich Shevchenko,M,28.0,194.0,96.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Foil, Team",Gold
223769,112390,Rusty Smith,M,22.0,173.0,73.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",
243906,122151,Torben Tryde,M,31.0,,,Denmark,DEN,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Jumping, Individual",
88662,44944,Jason Haldane,M,41.0,203.0,105.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,
203451,102144,Winfred J. Rolker,M,28.0,173.0,64.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,
139721,70147,Evert Eskil Lindgren,M,30.0,185.0,85.0,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Pommelled Horse,
150704,75619,Paul-Ren Martin,M,30.0,175.0,63.0,Switzerland,SUI,1932 Summer,1932,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",
231377,116102,Leonel Surez Fajardo,M,20.0,181.0,68.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,Bronze
43797,22576,Oriol Combarros Vilaseca,M,24.0,167.0,67.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,
114415,57939,Antti Alexander Kasvio,M,18.0,185.0,77.5,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
69525,35436,Teijo Uolevi Finneman,M,20.0,183.0,78.0,Finland,FIN,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
78371,39780,Manfred Germar,M,25.0,182.0,74.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,
262921,131561,Bryan Woodward,M,26.0,190.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 800 metres,
223621,112315,Joyce Esther Smith (Byatt-),F,34.0,169.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Women's 1,500 metres",
67006,34270,Silvio Fauner,M,25.0,183.0,74.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Bronze
151604,76082,Roberto Masciarelli,M,28.0,196.0,,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,
159748,80166,Masude Ali Khan Minhas,M,,178.0,,India,IND,1932 Summer,1932,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
93075,47141,Marianne Hefti (-Stoll),F,18.0,162.0,64.0,Switzerland,SUI,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,
118819,60136,Kim Mi-Rae,F,15.0,150.0,40.0,North Korea,PRK,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,
138860,69761,Ulf Lienhard,M,25.0,185.0,73.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,
86641,43939,Jana Gnther,F,17.0,163.0,50.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,
93565,47362,Yevhen Semenovych Hekht,M,30.0,,,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Running Target, 10 metres",
50691,26073,Leonardo Gomes de Deus,M,21.0,175.0,70.0,Brazil,BRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Butterfly,
41054,21166,Shahanuddin Choudhury,M,25.0,173.0,62.0,Bangladesh,BAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,
73414,37308,Serhiy Anatoliyovych Frolov,M,20.0,190.0,84.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
4833,2761,Likou Aliu,M,26.0,170.0,75.0,Samoa,SAM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,
185710,93375,Mario Prez Guadarrama,M,21.0,175.0,65.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,
259300,129821,Malin Westerheim,F,22.0,180.0,75.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",
15672,8441,Lindsey Kristin Bashor,F,21.0,173.0,75.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,
119495,60492,Leamon King,M,20.0,180.0,64.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
82045,41661,Yoanka Gonzlez Prez,F,24.0,168.0,59.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Women's Road Race, Individual",
84286,42808,George Grey,M,30.0,179.0,76.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,
220775,110887,Juliene Simpson (Brazinski-),F,23.0,170.0,80.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,Silver
131251,66059,Hira Lal,M,25.0,177.0,60.0,India,IND,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
218392,109683,Shi Tingmao,F,24.0,159.0,52.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Gold
154520,77576,"Matthew John ""Matt"" McGrath",M,36.0,182.0,115.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Hammer Throw,Gold
245779,123075,Gennady Udalov,M,,,,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Springboard,
96541,48877,Odd-Bjrn Hjelmeset,M,38.0,180.0,69.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
263043,131621,Harry Thomas Worthington,M,20.0,179.0,68.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,
257732,129077,Patrick N. Weaver,M,28.0,173.0,73.0,United States,USA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
220223,110630,Cristian Javier Simari Birkner,M,29.0,184.0,86.0,Argentina,ARG,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,
54012,27708,Stane Derganc,M,35.0,,,Yugoslavia,YUG,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horizontal Bar,
248803,124560,"Carl Van Duyne, III",M,22.0,173.0,77.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed One Person Dinghy,
35423,18248,Jacques Cariou,M,41.0,173.0,,France,FRA,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
134742,67796,"Kar Wai ""Calvin"" Lee",M,29.0,172.0,68.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,
106876,54025,Ferdinand Jassogne,M,32.0,,,Belgium,BEL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",
181437,91187,Angelos Papadimas,M,,,,Greece,GRE,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
88353,44809,Shirley Ethel Haig,F,33.0,162.0,58.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,
83020,42170,"Siegfried Josef ""Sigi"" Grabner",M,35.0,180.0,80.0,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Parallel Giant Slalom,
136953,68850,Jindich Lepiere,M,,,,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,
47388,24426,Juan Esteban Curuchet,M,35.0,175.0,65.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Points Race,
65454,33499,Jean-Blaise Evquoz,M,22.0,180.0,77.0,Switzerland,SUI,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team",Bronze
188068,94473,Glenda May Phillips (-Adams),F,19.0,169.0,70.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,
201299,101107,Orlando Rivas,M,22.0,170.0,64.0,Colombia,COL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,
260823,130506,"Deborah Ann ""Debra"" Willcox",F,16.0,163.0,47.0,United States,USA,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Balance Beam,
225241,113163,Darius Songaila,M,34.0,204.0,110.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
116075,58786,Angelique Kerber,F,28.0,173.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,Silver
211920,106404,Erik Johan Sb,M,23.0,163.0,63.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",
96694,48956,Richard Anthony Hoad,M,61.0,,,Barbados,BAR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,
170236,85544,Andrey Igorevich Nevzorov,M,28.0,184.0,78.0,Kazakhstan,KAZ,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
270054,135101,Jean-Olivier Zirignon,M,21.0,193.0,90.0,Cote d'Ivoire,CIV,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
6862,3853,Paul Richard Anderson,M,33.0,183.0,86.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Bronze
254735,127520,Aleksey Nikolayevich Voropayev,M,19.0,164.0,68.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Gold
154743,77682,Lesley McKenna,F,27.0,160.0,57.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Women's Halfpipe,
239892,120212,Tian Liang,M,16.0,172.0,60.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,
212061,106462,Warren James Scarfe,M,23.0,179.0,54.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,
203316,102090,"Susan Marie ""Sue"" Rojcewicz",F,23.0,170.0,59.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,Silver
193279,97027,Tayshaun Durell Prince,M,28.0,206.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
247027,123691,"Willemien ""Wiljon"" Vaandrager (-Cornelisse)",F,26.0,183.0,68.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,
204446,102653,Jrg Rokopf,M,19.0,182.0,72.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Singles,
53138,27271,Felipe Delgado Martillo,M,23.0,182.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,
210227,105555,Mara Santangelo,F,27.0,183.0,63.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles,
250529,125486,Salvador Vassallo,M,20.0,,,Puerto Rico,PUR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Individual Medley,
253977,127174,Anke Vlker-Schumann (Riland-),F,29.0,162.0,57.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",
231801,116286,Siha Sukarno,M,,,,Indonesia,INA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Individual",
269150,134683,Zhao Yunlei,F,29.0,173.0,60.0,China-1,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Bronze
125930,63518,Adam Kowalski,M,23.0,176.0,72.0,Poland,POL,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey,
265182,132709,Oksana Aleksandrovna Yatskaya,F,27.0,161.0,54.0,Kazakhstan,KAZ,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
57136,29275,Marta Domnguez Azpeleta,F,32.0,163.0,52.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",
100578,50858,"Robert Peter ""Bob"" Hughes",M,20.0,169.0,70.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 20 kilometres Walk,
44571,22975,Lillian Copeland (Drossin-),F,23.0,165.0,59.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's Discus Throw,Silver
250424,125429,Dionysios Vasilopoulos,M,,,,Greece,GRE,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 400 metres Freestyle,
207022,103892,Erwina Lilia Ry-Ferens,F,33.0,168.0,61.0,Poland,POL,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 1,000 metres",
75441,38299,Nikolay Ganev,M,21.0,,,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Freestyle,
114240,57854,Masayoshi Kashiwagi,M,22.0,170.0,65.0,Japan,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Slalom,
171717,86285,Aleksandar Nikolov,M,23.0,,,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's Road Race, Individual",
198340,99589,Georg Regner,M,19.0,165.0,68.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
225829,113477,John Allen Southwood,M,33.0,172.0,70.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
57353,29377,Dong Jiong,M,22.0,179.0,68.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,Silver
122793,62065,Kok Kum Woh,M,49.0,180.0,100.0,Malaysia,MAS,1964 Summer,1964,Summer,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",
25103,13133,Kateryna Volodymyrivna Bondarenko,F,21.0,175.0,60.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles,
127347,64200,Hans Kroes,M,19.0,190.0,83.0,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
219630,110329,Geza ifli,M,21.0,,,Yugoslavia,YUG,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,
178638,89787,Kaetlyn Osmond,F,18.0,163.0,55.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver
235227,117951,Katsuo Takaishi,M,17.0,,,Japan,JPN,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
240656,120589,Volodymyr Petrovych Tkachenko,M,18.0,220.0,110.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Bronze
158152,79408,Cristiano Rositoano Michelena,M,21.0,187.0,86.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,
171566,86214,Sarah de Oliveira Nikitin,F,27.0,170.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,
234782,117737,Hiroshi Tadano,M,22.0,,,Japan,JPN,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,
91084,46160,Devon Desmond Harris,M,27.0,178.0,97.0,Jamaica-2,JAM,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,
137990,69339,Li Duihong,F,26.0,158.0,51.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",
13033,7088,Niki Bakogianni,F,28.0,170.0,52.0,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's High Jump,Silver
63789,32684,Sven Einar Englund,M,32.0,,,Finland,FIN,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",
263586,131897,"Irene Karlijn ""Ireen"" Wst",F,23.0,168.0,65.0,Netherlands,NED,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Women's 1,000 metres",
243310,121854,Vladislav Aleksandrovich Tretyak,M,23.0,185.0,79.0,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
82997,42159,Dieter Grabe,M,23.0,188.0,79.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,
174416,87602,O Il,M,26.0,168.0,60.0,North Korea,PRK,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,
249034,124674,"Franciskus ""Frans"" Van Hoorebeke",M,28.0,,,Belgium,BEL,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Middleweight, Freestyle",
131919,66394,Kara Lang,F,21.0,172.0,68.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,
266043,133103,Diana Vasileva Yorgova,F,21.0,162.0,55.0,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
153993,77314,Eliza McCartney,F,19.0,179.0,66.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,Bronze
97257,49229,"William Peter ""Bill"" Hogenson",M,19.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 200 metres,Bronze
191500,96156,Lenka Popkin (Honzkov-),F,30.0,169.0,55.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Women's Individual,
17943,9535,Eva Maria Belaise,F,25.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
42720,22041,Brian Clifford,M,16.0,185.0,85.0,Ireland,IRL,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",
159480,80041,Tore Milsett,M,24.0,175.0,70.0,Norway,NOR,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,
114815,58144,Shingo Kawabata,M,22.0,174.0,65.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,
269926,135047,Nikolay Semyonovich Zimyatov,M,24.0,183.0,68.0,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
138527,69574,Li Yun-Hae,M,31.0,169.0,65.0,North Korea,PRK,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",
89536,45368,Wayne Gary Hammond,M,27.0,184.0,75.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver
11580,6310,Carlos Antnio  da Rocha Azevedo,M,17.0,185.0,80.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Individual Medley,
227058,114104,Martin St. Pierre,M,24.0,170.0,61.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,
144817,72677,Dmytro Yuriyovych Lysenko,M,23.0,166.0,60.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Springboard,
126880,63968,Mitzi Patricia Kremer (-Tighe),F,20.0,178.0,68.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,
264605,132413,Yan Ming,F,18.0,168.0,56.0,China,CHN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,
239519,120045,Gunnar Thoresen,M,30.0,,,Norway-2,NOR,1952 Winter,1952,Winter,Oslo,Bobsleigh,Bobsleigh Men's Four,
58140,29755,Olga Vyacheslavovna Dovgun (Belyayeva-),F,33.0,166.0,56.0,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
26925,13999,Tarik Bouguetab,M,27.0,179.0,70.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,
156174,78432,Luk Melich,M,31.0,186.0,110.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Hammer Throw,
267664,133909,"Giovanni Paolo ""Gianpaolo"" Zandegiacomo Bianco",M,37.0,188.0,83.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,
129648,65270,"Marian Zygmunt ""Marek"" Kuszewski",M,26.0,171.0,63.0,Poland,POL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Team",Silver
84812,43037,Mindaugas Grikonis,M,30.0,190.0,92.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Silver
219214,110119,Valeriy Viktorovych Shyriaiev,M,38.0,178.0,80.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,
158833,79746,Maurizio Milanetto,M,19.0,173.0,70.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,
112232,56840,Wavala Kali,M,22.0,173.0,66.0,Papua New Guinea,PNG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,
119881,60693,Jonathan Kiriisa,M,25.0,167.0,81.0,Uganda,UGA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,
46692,24084,Mnika Csszr,F,17.0,166.0,55.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
48544,25020,Jnos Dalmati,M,30.0,174.0,63.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 50 kilometres Walk,
130936,65909,Barbara Lah,F,24.0,180.0,61.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,
232332,116548,Jrgen Lars Sundelin,M,23.0,181.0,70.0,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Gold
154318,77480,Nancy McDonnell (-Gabriel),F,17.0,160.0,54.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,
152809,76682,Peter Matthews,M,26.0,188.0,84.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
2840,1574,Kosei Akaishi,M,27.0,172.0,74.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
112937,57219,Kang Gwang-Song,M,24.0,166.0,62.0,North Korea,PRK,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Rings,
267318,133742,Ludvik Zajc,M,25.0,177.0,72.0,Yugoslavia,YUG,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
148894,74684,Arthur Mapp,M,26.0,184.0,113.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Open Class,Bronze
219206,110114,Nataliya Shybaieva,F,23.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,
132753,66825,Nicole Broch Larsen,F,23.0,179.0,75.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,
241904,121162,Segun Moses Toriola,M,41.0,182.0,70.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
